strategy,composite_score,adx_period,adx_threshold,sar_af,stoch_k,stoch_oversold,stoch_overbought,total_trades,win_rate,profit_factor,total_return,total_profit,gross_profit,gross_loss,avg_trade,avg_winning_trade,avg_losing_trade,max_drawdown,intra_trade_max_dd,sharpe_ratio,sortino_ratio,omega_ratio,final_value,winning_trades,losing_trades,profit_factor_zone,sharpe_ratio_zone,sortino_ratio_zone,win_rate_zone,intra_trade_max_dd_zone,omega_ratio_zone,total_trades_zone
adx_sar_stoch,2.9,16,20,0.02,14,25,75,2,100.0,inf,2.1771813834158964,2177.1813834158966,2177.1813834158966,0.0,1088.5906917079483,1088.5906917079483,0.0,9.849242771929385,9.849242771929385,192.71611903486723,inf,inf,102177.1813834159,2,0,green,green,green,green,green,green,red
adx_sar_stoch,2.9,16,20,0.02,14,25,80,2,100.0,inf,1.642715736095066,1642.715736095066,1642.715736095066,0.0,821.357868047533,821.357868047533,0.0,9.849242771929385,9.849242771929385,52.626328813825914,inf,inf,101642.71573609507,2,0,green,green,green,green,green,green,red
adx_sar_stoch,2.9,16,20,0.02,14,25,85,2,100.0,inf,2.3785784521769964,2378.5784521769965,2378.5784521769965,0.0,1189.2892260884983,1189.2892260884983,0.0,9.849242771929385,9.849242771929385,85.36677097996716,inf,inf,102378.578452177,2,0,green,green,green,green,green,green,red
adx_sar_stoch,2.4999999999999996,16,20,0.02,12,25,75,3,66.66666666666666,10.1443710447858,5.434955519891679,5434.955519891679,6029.305365635388,594.349845743709,1811.6518399638928,3014.652682817694,-594.349845743709,16.139183796512185,16.139183796512185,9.817111545614475,0.0,12.606343600621873,105434.95551989168,2,1,green,green,red,green,green,green,red
adx_sar_stoch,2.4999999999999996,16,20,0.02,12,25,80,3,66.66666666666666,28.12554187073924,16.122061626588387,16122.061626588387,16716.411472332096,594.349845743709,5374.020542196129,8358.205736166048,-594.349845743709,16.139183796512185,16.139183796512185,8.941141155296918,0.0,34.40619897936418,116122.06162658839,2,1,green,green,red,green,green,green,red
adx_sar_stoch,2.4999999999999996,16,20,0.02,12,25,85,3,66.66666666666666,27.21514990347285,15.580970301277294,15580.970301277295,16175.320147021004,594.349845743709,5193.656767092431,8087.660073510502,-594.349845743709,16.139183796512185,16.139183796512185,10.01286927202029,0.0,32.946376290716294,115580.9703012773,2,1,green,green,red,green,green,green,red
adx_sar_stoch,2.35,12,20,0.02,12,25,75,2,50.0,8.858348631113191,4.6706082967024125,4670.608296702412,5264.958142446121,594.349845743709,2335.304148351206,5264.958142446121,-594.349845743709,16.139183796512185,16.139183796512185,9.342315438667317,0.0,10.924608486731602,104670.60829670241,1,1,green,green,red,yellow,green,green,red
adx_sar_stoch,2.35,12,20,0.02,12,25,80,2,50.0,27.879450773157604,15.975797420701843,15975.797420701841,16570.14726644555,594.349845743709,7987.898710350921,16570.14726644555,-594.349845743709,16.139183796512185,16.139183796512185,10.582602797859566,0.0,33.94865358240466,115975.79742070184,1,1,green,green,red,yellow,green,green,red
adx_sar_stoch,2.35,12,20,0.02,12,25,85,2,50.0,24.625865656980135,14.042029608787738,14042.029608787736,14636.379454531445,594.349845743709,7021.014804393868,14636.379454531445,-594.349845743709,16.139183796512185,16.139183796512185,10.501022340107937,0.0,30.010359687651952,114042.02960878774,1,1,green,green,red,yellow,green,green,red
adx_sar_stoch,2.35,14,20,0.02,12,25,75,2,50.0,8.858348631113191,4.6706082967024125,4670.608296702412,5264.958142446121,594.349845743709,2335.304148351206,5264.958142446121,-594.349845743709,16.139183796512185,16.139183796512185,9.342315438667317,0.0,10.924608486731602,104670.60829670241,1,1,green,green,red,yellow,green,green,red
adx_sar_stoch,2.35,14,20,0.02,12,25,80,2,50.0,27.879450773157604,15.975797420701843,15975.797420701841,16570.14726644555,594.349845743709,7987.898710350921,16570.14726644555,-594.349845743709,16.139183796512185,16.139183796512185,10.582602797859566,0.0,33.94865358240466,115975.79742070184,1,1,green,green,red,yellow,green,green,red
adx_sar_stoch,2.35,14,20,0.02,12,25,85,2,50.0,24.625865656980135,14.042029608787738,14042.029608787736,14636.379454531445,594.349845743709,7021.014804393868,14636.379454531445,-594.349845743709,16.139183796512185,16.139183796512185,10.501022340107937,0.0,30.010359687651952,114042.02960878774,1,1,green,green,red,yellow,green,green,red
adx_sar_stoch,2.0999999999999996,12,20,0.02,14,20,75,1,100.0,inf,1.0144044577562308,1014.4044577562308,1014.4044577562308,0.0,1014.4044577562308,1014.4044577562308,0.0,6.252925648819711,6.252925648819711,0.0,0.0,inf,101014.40445775623,1,0,green,red,red,green,green,green,red
adx_sar_stoch,2.0999999999999996,12,20,0.02,14,20,80,1,100.0,inf,1.0144044577562308,1014.4044577562308,1014.4044577562308,0.0,1014.4044577562308,1014.4044577562308,0.0,6.252925648819711,6.252925648819711,0.0,0.0,inf,101014.40445775623,1,0,green,red,red,green,green,green,red
adx_sar_stoch,2.0999999999999996,12,20,0.02,14,20,85,1,100.0,inf,1.0144044577562308,1014.4044577562308,1014.4044577562308,0.0,1014.4044577562308,1014.4044577562308,0.0,6.252925648819711,6.252925648819711,0.0,0.0,inf,101014.40445775623,1,0,green,red,red,green,green,green,red
adx_sar_stoch,2.0999999999999996,12,20,0.02,14,25,75,1,100.0,inf,1.0144044577562308,1014.4044577562308,1014.4044577562308,0.0,1014.4044577562308,1014.4044577562308,0.0,6.252925648819711,6.252925648819711,0.0,0.0,inf,101014.40445775623,1,0,green,red,red,green,green,green,red
adx_sar_stoch,2.0999999999999996,12,20,0.02,14,25,80,1,100.0,inf,1.0144044577562308,1014.4044577562308,1014.4044577562308,0.0,1014.4044577562308,1014.4044577562308,0.0,6.252925648819711,6.252925648819711,0.0,0.0,inf,101014.40445775623,1,0,green,red,red,green,green,green,red
adx_sar_stoch,2.0999999999999996,12,20,0.02,14,25,85,1,100.0,inf,1.0144044577562308,1014.4044577562308,1014.4044577562308,0.0,1014.4044577562308,1014.4044577562308,0.0,6.252925648819711,6.252925648819711,0.0,0.0,inf,101014.40445775623,1,0,green,red,red,green,green,green,red
adx_sar_stoch,2.0999999999999996,12,25,0.02,12,25,75,1,100.0,inf,5.301770981074908,5301.7709810749075,5301.7709810749075,0.0,5301.7709810749075,5301.7709810749075,0.0,14.0930526707611,14.0930526707611,0.0,0.0,inf,105301.77098107491,1,0,green,red,red,green,green,green,red
adx_sar_stoch,2.0999999999999996,12,25,0.02,12,25,80,1,100.0,inf,16.686006527026752,16686.00652702675,16686.00652702675,0.0,16686.00652702675,16686.00652702675,0.0,14.0930526707611,14.0930526707611,0.0,0.0,inf,116686.00652702675,1,0,green,red,red,green,green,green,red
adx_sar_stoch,2.0999999999999996,12,25,0.02,12,25,85,1,100.0,inf,14.738717718272861,14738.717718272863,14738.717718272863,0.0,14738.717718272863,14738.717718272863,0.0,14.0930526707611,14.0930526707611,0.0,0.0,inf,114738.71771827286,1,0,green,red,red,green,green,green,red
adx_sar_stoch,2.0999999999999996,14,20,0.02,14,20,75,1,100.0,inf,1.0144044577562308,1014.4044577562308,1014.4044577562308,0.0,1014.4044577562308,1014.4044577562308,0.0,6.252925648819711,6.252925648819711,0.0,0.0,inf,101014.40445775623,1,0,green,red,red,green,green,green,red
adx_sar_stoch,2.0999999999999996,14,20,0.02,14,20,80,1,100.0,inf,1.0144044577562308,1014.4044577562308,1014.4044577562308,0.0,1014.4044577562308,1014.4044577562308,0.0,6.252925648819711,6.252925648819711,0.0,0.0,inf,101014.40445775623,1,0,green,red,red,green,green,green,red
adx_sar_stoch,2.0999999999999996,14,20,0.02,14,20,85,1,100.0,inf,1.0144044577562308,1014.4044577562308,1014.4044577562308,0.0,1014.4044577562308,1014.4044577562308,0.0,6.252925648819711,6.252925648819711,0.0,0.0,inf,101014.40445775623,1,0,green,red,red,green,green,green,red
adx_sar_stoch,2.0999999999999996,14,20,0.02,14,25,75,1,100.0,inf,1.0144044577562308,1014.4044577562308,1014.4044577562308,0.0,1014.4044577562308,1014.4044577562308,0.0,6.252925648819711,6.252925648819711,0.0,0.0,inf,101014.40445775623,1,0,green,red,red,green,green,green,red
adx_sar_stoch,2.0999999999999996,14,20,0.02,14,25,80,1,100.0,inf,1.0144044577562308,1014.4044577562308,1014.4044577562308,0.0,1014.4044577562308,1014.4044577562308,0.0,6.252925648819711,6.252925648819711,0.0,0.0,inf,101014.40445775623,1,0,green,red,red,green,green,green,red
adx_sar_stoch,2.0999999999999996,14,20,0.02,14,25,85,1,100.0,inf,1.0144044577562308,1014.4044577562308,1014.4044577562308,0.0,1014.4044577562308,1014.4044577562308,0.0,6.252925648819711,6.252925648819711,0.0,0.0,inf,101014.40445775623,1,0,green,red,red,green,green,green,red
adx_sar_stoch,2.0999999999999996,14,20,0.02,16,25,75,1,100.0,inf,1.9657246187424025,1965.7246187424025,1965.7246187424025,0.0,1965.7246187424025,1965.7246187424025,0.0,6.252925648819716,6.252925648819716,0.0,0.0,inf,101965.7246187424,1,0,green,red,red,green,green,green,red
adx_sar_stoch,2.0999999999999996,14,20,0.02,16,25,80,1,100.0,inf,1.9657246187424025,1965.7246187424025,1965.7246187424025,0.0,1965.7246187424025,1965.7246187424025,0.0,6.252925648819716,6.252925648819716,0.0,0.0,inf,101965.7246187424,1,0,green,red,red,green,green,green,red
adx_sar_stoch,2.0999999999999996,14,20,0.02,16,25,85,1,100.0,inf,1.9657246187424025,1965.7246187424025,1965.7246187424025,0.0,1965.7246187424025,1965.7246187424025,0.0,6.252925648819716,6.252925648819716,0.0,0.0,inf,101965.7246187424,1,0,green,red,red,green,green,green,red
adx_sar_stoch,2.0999999999999996,14,25,0.02,12,25,75,1,100.0,inf,5.301770981074908,5301.7709810749075,5301.7709810749075,0.0,5301.7709810749075,5301.7709810749075,0.0,14.0930526707611,14.0930526707611,0.0,0.0,inf,105301.77098107491,1,0,green,red,red,green,green,green,red
adx_sar_stoch,2.0999999999999996,14,25,0.02,12,25,80,1,100.0,inf,16.686006527026752,16686.00652702675,16686.00652702675,0.0,16686.00652702675,16686.00652702675,0.0,14.0930526707611,14.0930526707611,0.0,0.0,inf,116686.00652702675,1,0,green,red,red,green,green,green,red
adx_sar_stoch,2.0999999999999996,14,25,0.02,12,25,85,1,100.0,inf,14.738717718272861,14738.717718272863,14738.717718272863,0.0,14738.717718272863,14738.717718272863,0.0,14.0930526707611,14.0930526707611,0.0,0.0,inf,114738.71771827286,1,0,green,red,red,green,green,green,red
adx_sar_stoch,2.0999999999999996,16,20,0.02,14,20,75,1,100.0,inf,1.0144044577562308,1014.4044577562308,1014.4044577562308,0.0,1014.4044577562308,1014.4044577562308,0.0,6.252925648819711,6.252925648819711,0.0,0.0,inf,101014.40445775623,1,0,green,red,red,green,green,green,red
adx_sar_stoch,2.0999999999999996,16,20,0.02,14,20,80,1,100.0,inf,1.0144044577562308,1014.4044577562308,1014.4044577562308,0.0,1014.4044577562308,1014.4044577562308,0.0,6.252925648819711,6.252925648819711,0.0,0.0,inf,101014.40445775623,1,0,green,red,red,green,green,green,red
adx_sar_stoch,2.0999999999999996,16,20,0.02,14,20,85,1,100.0,inf,1.0144044577562308,1014.4044577562308,1014.4044577562308,0.0,1014.4044577562308,1014.4044577562308,0.0,6.252925648819711,6.252925648819711,0.0,0.0,inf,101014.40445775623,1,0,green,red,red,green,green,green,red
adx_sar_stoch,2.0999999999999996,16,20,0.02,16,25,75,1,100.0,inf,1.9657246187424025,1965.7246187424025,1965.7246187424025,0.0,1965.7246187424025,1965.7246187424025,0.0,6.252925648819716,6.252925648819716,0.0,0.0,inf,101965.7246187424,1,0,green,red,red,green,green,green,red
adx_sar_stoch,2.0999999999999996,16,20,0.02,16,25,80,1,100.0,inf,1.9657246187424025,1965.7246187424025,1965.7246187424025,0.0,1965.7246187424025,1965.7246187424025,0.0,6.252925648819716,6.252925648819716,0.0,0.0,inf,101965.7246187424,1,0,green,red,red,green,green,green,red
adx_sar_stoch,2.0999999999999996,16,20,0.02,16,25,85,1,100.0,inf,1.9657246187424025,1965.7246187424025,1965.7246187424025,0.0,1965.7246187424025,1965.7246187424025,0.0,6.252925648819716,6.252925648819716,0.0,0.0,inf,101965.7246187424,1,0,green,red,red,green,green,green,red
adx_sar_stoch,2.0999999999999996,16,25,0.02,12,25,75,1,100.0,inf,5.301770981074908,5301.7709810749075,5301.7709810749075,0.0,5301.7709810749075,5301.7709810749075,0.0,14.0930526707611,14.0930526707611,0.0,0.0,inf,105301.77098107491,1,0,green,red,red,green,green,green,red
adx_sar_stoch,2.0999999999999996,16,25,0.02,12,25,80,1,100.0,inf,16.686006527026752,16686.00652702675,16686.00652702675,0.0,16686.00652702675,16686.00652702675,0.0,14.0930526707611,14.0930526707611,0.0,0.0,inf,116686.00652702675,1,0,green,red,red,green,green,green,red
adx_sar_stoch,2.0999999999999996,16,25,0.02,12,25,85,1,100.0,inf,14.738717718272861,14738.717718272863,14738.717718272863,0.0,14738.717718272863,14738.717718272863,0.0,14.0930526707611,14.0930526707611,0.0,0.0,inf,114738.71771827286,1,0,green,red,red,green,green,green,red
adx_sar_stoch,2.0999999999999996,16,30,0.02,12,25,75,1,100.0,inf,5.301770981074908,5301.7709810749075,5301.7709810749075,0.0,5301.7709810749075,5301.7709810749075,0.0,14.0930526707611,14.0930526707611,0.0,0.0,inf,105301.77098107491,1,0,green,red,red,green,green,green,red
adx_sar_stoch,2.0999999999999996,16,30,0.02,12,25,80,1,100.0,inf,16.686006527026752,16686.00652702675,16686.00652702675,0.0,16686.00652702675,16686.00652702675,0.0,14.0930526707611,14.0930526707611,0.0,0.0,inf,116686.00652702675,1,0,green,red,red,green,green,green,red
adx_sar_stoch,2.0999999999999996,16,30,0.02,12,25,85,1,100.0,inf,14.738717718272861,14738.717718272863,14738.717718272863,0.0,14738.717718272863,14738.717718272863,0.0,14.0930526707611,14.0930526707611,0.0,0.0,inf,114738.71771827286,1,0,green,red,red,green,green,green,red
adx_sar_stoch,1.2000000000000002,12,20,0.02,12,20,75,1,0.0,0.0,-0.594349845743709,-594.349845743709,0.0,594.349845743709,-594.349845743709,0.0,-594.349845743709,6.252925648819711,6.252925648819711,0.0,0.0,0.0,99405.65015425629,0,1,red,red,red,red,green,red,red
adx_sar_stoch,1.2000000000000002,12,20,0.02,12,20,80,1,0.0,0.0,-0.594349845743709,-594.349845743709,0.0,594.349845743709,-594.349845743709,0.0,-594.349845743709,6.252925648819711,6.252925648819711,0.0,0.0,0.0,99405.65015425629,0,1,red,red,red,red,green,red,red
adx_sar_stoch,1.2000000000000002,12,20,0.02,12,20,85,1,0.0,0.0,-0.594349845743709,-594.349845743709,0.0,594.349845743709,-594.349845743709,0.0,-594.349845743709,6.252925648819711,6.252925648819711,0.0,0.0,0.0,99405.65015425629,0,1,red,red,red,red,green,red,red
adx_sar_stoch,1.2000000000000002,14,20,0.02,12,20,75,1,0.0,0.0,-0.594349845743709,-594.349845743709,0.0,594.349845743709,-594.349845743709,0.0,-594.349845743709,6.252925648819711,6.252925648819711,0.0,0.0,0.0,99405.65015425629,0,1,red,red,red,red,green,red,red
adx_sar_stoch,1.2000000000000002,14,20,0.02,12,20,80,1,0.0,0.0,-0.594349845743709,-594.349845743709,0.0,594.349845743709,-594.349845743709,0.0,-594.349845743709,6.252925648819711,6.252925648819711,0.0,0.0,0.0,99405.65015425629,0,1,red,red,red,red,green,red,red
adx_sar_stoch,1.2000000000000002,14,20,0.02,12,20,85,1,0.0,0.0,-0.594349845743709,-594.349845743709,0.0,594.349845743709,-594.349845743709,0.0,-594.349845743709,6.252925648819711,6.252925648819711,0.0,0.0,0.0,99405.65015425629,0,1,red,red,red,red,green,red,red
adx_sar_stoch,1.2000000000000002,16,20,0.02,12,20,75,1,0.0,0.0,-0.594349845743709,-594.349845743709,0.0,594.349845743709,-594.349845743709,0.0,-594.349845743709,6.252925648819711,6.252925648819711,0.0,0.0,0.0,99405.65015425629,0,1,red,red,red,red,green,red,red
adx_sar_stoch,1.2000000000000002,16,20,0.02,12,20,80,1,0.0,0.0,-0.594349845743709,-594.349845743709,0.0,594.349845743709,-594.349845743709,0.0,-594.349845743709,6.252925648819711,6.252925648819711,0.0,0.0,0.0,99405.65015425629,0,1,red,red,red,red,green,red,red
adx_sar_stoch,1.2000000000000002,16,20,0.02,12,20,85,1,0.0,0.0,-0.594349845743709,-594.349845743709,0.0,594.349845743709,-594.349845743709,0.0,-594.349845743709,6.252925648819711,6.252925648819711,0.0,0.0,0.0,99405.65015425629,0,1,red,red,red,red,green,red,red
